dates,PISCO
1981-01-01,89.8692527214686
1981-02-01,172.77672290802
1981-03-01,117.83930238088
1981-04-01,27.2266668876012
1981-05-01,1.34065440654134
1981-06-01,0.869739181051652
1981-07-01,0.734227562478433
1981-08-01,5.03542120258013
1981-09-01,2.7237993311137
1981-10-01,19.787892729044
1981-11-01,58.2686121463776
1981-12-01,89.6482964555423
1982-01-01,95.8846169710159
1982-02-01,98.7946747144063
1982-03-01,69.6580735047658
1982-04-01,42.1463677883148
1982-05-01,2.75291558293005
1982-06-01,2.0967904155453
1982-07-01,3.22373414908846
1982-08-01,3.26719574506084
1982-09-01,5.85108822087447
1982-10-01,62.78000775973
1982-11-01,50.403615852197
1982-12-01,57.7372656663259
1983-01-01,68.2631295522054
1983-02-01,56.6379010677338
1983-03-01,159.201479276021
1983-04-01,68.0743254025777
1983-05-01,6.07531448702017
1983-06-01,7.08327711125215
1983-07-01,1.29391523109128
1983-08-01,0.572576706530526
1983-09-01,5.77126879990101
1983-10-01,19.5802446901798
1983-11-01,38.9816462397575
1983-12-01,76.9529502391815
1984-01-01,72.1286950111389
1984-02-01,159.774002869924
1984-03-01,153.371854464213
1984-04-01,38.2953824996948
1984-05-01,15.1388922929764
1984-06-01,9.20032105843226
1984-07-01,4.564145407329
1984-08-01,0.876741844850282
1984-09-01,7.87613461911678
1984-10-01,56.3241235812505
1984-11-01,37.7036321759224
1984-12-01,76.3834342161814
1985-01-01,32.1520822445552
1985-02-01,80.2639730771383
1985-03-01,124.250969568888
1985-04-01,50.7575658957163
1985-05-01,13.9856205334266
1985-06-01,3.68721053004265
1985-07-01,4.72770772874355
1985-08-01,1.09013329570492
1985-09-01,16.5453256393472
1985-10-01,13.6818963090579
1985-11-01,20.0316487302383
1985-12-01,76.4277682701747
1986-01-01,123.332823753357
1986-02-01,89.4106648763021
1986-03-01,89.7332119941711
1986-04-01,51.5226239363352
1986-05-01,7.16305298109849
1986-06-01,1.33863622446855
1986-07-01,1.90266065454731
1986-08-01,3.98284640908241
1986-09-01,9.09192931900422
1986-10-01,12.3798447450002
1986-11-01,21.2259389633934
1986-12-01,89.8408706188202
1987-01-01,104.638900995255
1987-02-01,95.0324629147847
1987-03-01,49.3799398740133
1987-04-01,21.9793405930201
1987-05-01,6.1796261270841
1987-06-01,2.41927319268386
1987-07-01,1.98918287207683
1987-08-01,3.43833781778812
1987-09-01,10.0468286474546
1987-10-01,14.2625242173672
1987-11-01,38.0886066605647
1987-12-01,81.7299795150757
1988-01-01,97.149841149648
1988-02-01,46.9839437802633
1988-03-01,73.9237917264303
1988-04-01,53.182452917099
1988-05-01,9.39401133358479
1988-06-01,1.27431486578037
1988-07-01,0.539714852736021
1988-08-01,1.53927122397969
1988-09-01,5.74870685301721
1988-10-01,8.60882344345252
1988-11-01,24.2315423438946
1988-12-01,72.5779883066813
1989-01-01,116.220163186391
1989-02-01,111.164138635
1989-03-01,162.201203346252
1989-04-01,34.6519611676534
1989-05-01,6.09348954260349
1989-06-01,4.2138940046231
1989-07-01,1.8918972266838
1989-08-01,3.1890125858287
1989-09-01,11.8842814390858
1989-10-01,36.4757448633512
1989-11-01,18.1788578654329
1989-12-01,15.8149792551994
1990-01-01,67.0702239672343
1990-02-01,44.4702675739924
1990-03-01,74.1445910135905
1990-04-01,11.8967206974824
1990-05-01,6.42039379477501
1990-06-01,7.2919136484464
1990-07-01,1.68245014272785
1990-08-01,0.867259896981219
1990-09-01,5.94379630933205
1990-10-01,55.7281210422516
1990-11-01,42.2557281653086
1990-12-01,23.0978962431351
1991-01-01,56.8251349131266
1991-02-01,65.6266748905182
1991-03-01,130.62241045634
1991-04-01,37.8541661898295
1991-05-01,10.529178361098
1991-06-01,1.4349716839691
1991-07-01,2.53516004296641
1991-08-01,0.451440543954959
1991-09-01,3.91456763073802
1991-10-01,41.9698530832926
1991-11-01,29.7870211799939
1991-12-01,40.7645001411438
1992-01-01,33.1446562608083
1992-02-01,47.3656169573466
1992-03-01,90.3602808316549
1992-04-01,33.3180176417033
1992-05-01,4.05771833161513
1992-06-01,4.31862405935923
1992-07-01,1.32026759752383
1992-08-01,4.28202026337385
1992-09-01,7.40008039027452
1992-10-01,27.5119249423345
1992-11-01,16.6131306290627
1992-12-01,32.7402906815211
1993-01-01,67.9388920466105
1993-02-01,76.1078743934631
1993-03-01,156.920365015666
1993-04-01,73.4458937644958
1993-05-01,10.2799599766731
1993-06-01,1.84714646202823
1993-07-01,2.5450834967196
1993-08-01,1.67705636812995
1993-09-01,14.0468229924639
1993-10-01,51.1545975605647
1993-11-01,50.1315996249517
1993-12-01,115.861364603043
1994-01-01,117.857463359833
1994-02-01,137.122503757477
1994-03-01,145.891302108765
1994-04-01,66.3330619335175
1994-05-01,9.42048798998197
1994-06-01,2.49034757974247
1994-07-01,0.795283752804001
1994-08-01,1.12360271749397
1994-09-01,10.7530920058489
1994-10-01,14.2206599265337
1994-11-01,26.3412616948287
1994-12-01,66.9722123940786
1995-01-01,68.3153560956319
1995-02-01,65.2430950005849
1995-03-01,93.9028787612915
1995-04-01,54.3937901655833
1995-05-01,8.92476066450278
1995-06-01,3.1119110584259
1995-07-01,1.30928424373269
1995-08-01,1.20977472343172
1995-09-01,5.28456229778628
1995-10-01,18.5950872202714
1995-11-01,36.3726177016894
1995-12-01,92.876097758611
1996-01-01,93.7495320638021
1996-02-01,101.803431828817
1996-03-01,148.052271842957
1996-04-01,42.5365253289541
1996-05-01,8.94645736614863
1996-06-01,1.79044233635068
1996-07-01,0.668131274015953
1996-08-01,4.03102570275466
