dates,etp
1981-01-01,63.5678327747576
1981-02-01,55.241507956678
1981-03-01,62.4287398447821
1981-04-01,68.9214359195845
1981-05-01,78.7381495975502
1981-06-01,80.2487801649376
1981-07-01,85.0830352687637
1981-08-01,84.5684764917808
1981-09-01,79.9645894888796
1981-10-01,83.4647859099514
1981-11-01,77.589518411274
1981-12-01,76.1757697613105
1982-01-01,72.7314377436309
1982-02-01,59.4767496367835
1982-03-01,63.087556581756
1982-04-01,61.363023949864
1982-05-01,69.2555013955262
1982-06-01,75.4597138964309
1982-07-01,83.9301550464989
1982-08-01,84.7957113787625
1982-09-01,85.0399372873326
1982-10-01,86.2762403643455
1982-11-01,86.573681328441
1982-12-01,87.6448791695039
1983-01-01,84.295954267466
1983-02-01,71.5168288276688
1983-03-01,71.0830079590353
1983-04-01,61.9386396483738
1983-05-01,62.8600150297479
1983-06-01,63.1331427572167
1983-07-01,73.3376718684378
1983-08-01,81.3679587951533
1983-09-01,80.0071806268553
1983-10-01,82.6653235544989
1983-11-01,78.4051150742055
1983-12-01,81.4737993722171
1984-01-01,79.7857173911714
1984-02-01,70.349278751445
1984-03-01,75.7258742696806
1984-04-01,67.9956967443414
1984-05-01,62.5422004620068
1984-06-01,59.9961695183294
1984-07-01,63.1233063922794
1984-08-01,70.4192170654807
1984-09-01,76.5899682238107
1984-10-01,79.9419415659098
1984-11-01,83.3089986239694
1984-12-01,83.0440526114127
1985-01-01,84.4982652222189
1985-02-01,75.3908226618438
1985-03-01,80.0636436573897
1985-04-01,76.1188461813399
1985-05-01,71.9574662911369
1985-06-01,64.7901911311458
1985-07-01,63.1367954771802
1985-08-01,63.430455668535
1985-09-01,66.2821018338452
1985-10-01,77.8446772820268
1985-11-01,80.0107452695205
1985-12-01,85.1866709093958
1986-01-01,86.3461779855238
1986-02-01,77.4838314749254
1986-03-01,87.5536493958411
1986-04-01,80.9368957615098
1986-05-01,80.8605272647483
1986-06-01,73.9943583175882
1986-07-01,69.0984399066837
1986-08-01,62.4803473199832
1986-09-01,58.5871689591378
1986-10-01,65.1446422250385
1986-11-01,69.6301628431348
1986-12-01,82.5300148695147
1987-01-01,83.1024490292734
1987-02-01,75.4372986763653
1987-03-01,84.0753867577411
1987-04-01,83.8339305041478
1987-05-01,82.0659223425115
1987-06-01,76.4409305516763
1987-07-01,76.1795569768281
1987-08-01,70.4776287867281
1987-09-01,62.5359745750348
1987-10-01,63.1836894566928
1987-11-01,62.3962833715132
1987-12-01,69.2392686497443
1988-01-01,77.2955189874127
1988-02-01,77.3572302641102
1988-03-01,83.2008938337418
1988-04-01,81.4150411522214
1988-05-01,84.6540392244534
1988-06-01,79.6105640483052
1988-07-01,82.1064307832021
1988-08-01,76.9368555041096
1988-09-01,70.4586647415958
1988-10-01,66.9316146165692
1988-11-01,61.272279068025
1988-12-01,63.0235505456467
1989-01-01,69.2540566876437
1989-02-01,70.8238195303835
1989-03-01,85.1920356224872
1989-04-01,82.0565921186157
1989-05-01,87.7515132577534
1989-06-01,85.7211184507621
1989-07-01,87.6992224006414
1989-08-01,88.8503490280757
1989-09-01,80.3732803790704
1989-10-01,76.0115067260997
1989-11-01,67.7879811758786
1989-12-01,61.8061798462042
1990-01-01,60.4137409042964
1990-02-01,59.5900117671067
1990-03-01,73.728578627234
1990-04-01,78.7256045347465
1990-05-01,83.9239575284508
1990-06-01,81.255288285353
1990-07-01,83.2920784713331
1990-08-01,68.1376152181924
1990-09-01,70.3339559073239
1990-10-01,81.4166504033672
1990-11-01,74.6348356274822
1990-12-01,79.6834600683543
1991-01-01,81.6198485149471
1991-02-01,68.2529484280962
1991-03-01,78.2029936836259
1991-04-01,71.8378851729295
1991-05-01,68.9808628345083
1991-06-01,61.0609053243426
1991-07-01,57.6265943220612
1991-08-01,55.822522662328
1991-09-01,60.7593997899575
1991-10-01,73.3055558923391
1991-11-01,74.4313512368093
1991-12-01,76.1399960464127
1992-01-01,78.6470063338947
1992-02-01,73.4864281019239
1992-03-01,81.2038064976575
1992-04-01,74.8172672805308
1992-05-01,74.0004177913785
1992-06-01,69.813372109877
1992-07-01,64.1961681182798
1992-08-01,56.5004037526555
1992-09-01,56.2725811729352
1992-10-01,61.62795509864
1992-11-01,66.1618182443129
1992-12-01,77.7935898958019
1993-01-01,78.2879588961352
1993-02-01,72.9310134537285
1993-03-01,83.6518774586082
1993-04-01,81.1674542389235
1993-05-01,84.7025619634258
1993-06-01,78.4030889013366
1993-07-01,76.8392489136634
1993-08-01,69.1909961071293
1993-09-01,58.8928585793131
1993-10-01,59.7209049439878
1993-11-01,61.431151265441
1993-12-01,70.9265774195279
1994-01-01,80.1272989197414
1994-02-01,74.9493687575944
1994-03-01,84.9302558914854
1994-04-01,82.0058594769376
1994-05-01,86.5185952204503
1994-06-01,81.6807329341116
1994-07-01,82.0290565920772
1994-08-01,78.6300573854705
1994-09-01,70.1985966087134
1994-10-01,67.0948695300267
1994-11-01,55.7832302420025
1994-12-01,60.1714136955882
1995-01-01,66.5000525568124
1995-02-01,67.2537332204289
1995-03-01,80.8602262827449
1995-04-01,80.5530920008777
1995-05-01,81.5295216602174
1995-06-01,78.2044790614373
1995-07-01,81.5107242815181
1995-08-01,79.0272051387142
1995-09-01,72.8737543779027
1995-10-01,72.324983981457
1995-11-01,63.0573687384173
1995-12-01,60.3368141142461
1996-01-01,59.4431817661994
1996-02-01,58.4096218133022
1996-03-01,70.6047798586788
1996-04-01,75.6074408115076
1996-05-01,82.4490495558323
1996-06-01,78.0459608488143
1996-07-01,80.8342180925023
