dates,ACO_155106,AMBAR_151211,ANDAJES_155201,CAJATAMBO_000540,CHAMANA_150900,CHAVIN_000445,CHIQUIAN_000538,COCHAQUILLO_000545,DOS DE MAYO_004450,GORGOR_151208,LAGUNA COCHAQUILLO_155291,LAGUNA SURASACA_155206,MAYORARCA_150903,OCROS_155105,OYON_000541,PACCHO_155200,PAMPA LIBRE_155107,PARQUIN_155212,PICOY_000542,RECUAY_000441,YANAHUANCA_000475,PACHACOTO_155414,QUEROCOCHA_000429,SHACAYPAMPA_155411
1984-10-01,7.72459016393443,NA,NA,NA,0,NA,NA,NA,NA,99.4,NA,NA,NA,20.2,NA,37.4,0,86.9016393442623,48.8,154.4,NA,80.3,102.8,79
1984-11-01,NA,NA,NA,NA,0,NA,NA,NA,NA,158.1,NA,NA,NA,0,NA,49.6,11.8,100.2,66.7,88.6,NA,56,100.6,71.8
1984-12-01,NA,NA,NA,NA,1.7,NA,NA,NA,NA,60.8,NA,NA,NA,18.4,NA,78.6,13.1,138.8,88.1,82.7,NA,81.6,99.7,61.4
1985-01-01,7.5,NA,25.2,NA,8.1,NA,NA,NA,NA,56.5114754098361,NA,NA,NA,0,NA,19.9,5.1,54.783606557377,29.7,40.2,NA,92,104.7,54.8
1985-02-01,23.2,NA,105.5,NA,17.8,NA,NA,NA,NA,146.516363636364,NA,NA,NA,76.4,NA,124.1,17.6,192.2,116.4,114.6,NA,79,120.5,69
1985-03-01,69,NA,136.3,NA,46,NA,NA,NA,NA,161.8,NA,NA,NA,59.5,NA,149.7,35.3,150.2,113.4,111,NA,71.7,152.6,133.7
1985-04-01,7.1,NA,30.8,NA,11,NA,NA,NA,NA,73.3,NA,NA,NA,7.4,NA,51.2,12.8,60.5,47.8,128.2,NA,78.4,84.1,46.1
1985-05-01,3.1,NA,11.5,NA,0,NA,NA,NA,NA,22.4,NA,NA,NA,0,NA,10.3,0,34.4,16.4,47.1,NA,21.9,74.8,28.6
1985-06-01,0,NA,4.8,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,3.2,3.3,2.1,NA,0,5,0
1985-07-01,0,NA,0.9,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,13.5,NA,0,2.2,0
1985-08-01,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,1.6,0,0,NA,0,14,0
1985-09-01,0,NA,6.8,NA,0,NA,NA,NA,NA,11.3,NA,NA,NA,0,NA,0,0,22.4,16.3,73.1,NA,35.9,107.8,49.2
1985-10-01,0,NA,9,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,10.5,0,29.2,17.0754098360656,45.5,NA,8.5,55.1,20.7
1985-11-01,0.4,NA,11,NA,7.7,NA,NA,NA,NA,0,NA,NA,NA,0,NA,9.6,0,34.1,31.5,44,NA,11.5,100.7,26.1
1985-12-01,13.5,NA,59.4,NA,12,NA,NA,NA,NA,63.6,NA,NA,NA,18.8,NA,33.1,5.8,101.4,78.5,108.7,NA,86.3,129.6,76.5
1986-01-01,27.6,NA,128.9,NA,2.6,NA,NA,NA,NA,74.6,NA,NA,NA,71.7,NA,142.7,17.3,166.2,127.9,219.5,NA,162.9,144.4,65
1986-02-01,26.6,NA,100.3,NA,12.5,94.5,NA,NA,NA,128.4,NA,NA,NA,59.6654545454545,NA,166.7,13.6,164.9,156.5,136.9,NA,162.9,153,144.6
1986-03-01,42.2,NA,101.5,NA,7.7,60.5,NA,NA,NA,119.5,NA,NA,NA,NA,NA,117.4,0,121.2,91,75.0098360655738,NA,62.6,108.7,45.6
1986-04-01,5.9,NA,55.4,NA,0,103,NA,NA,NA,61,NA,NA,NA,26.1,NA,110.2,3,90.7,77.9,NA,NA,59.5,119.3,74.8
1986-05-01,0.5,NA,22.6,NA,0,19,NA,NA,NA,0,NA,NA,NA,0,NA,7.1,0,0,18.9,3.61666666666667,NA,0,24.3,11.3
1986-06-01,0,NA,0,NA,0,3.7,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,NA,0,0.6,0
1986-07-01,0,NA,0,NA,0,16.6,NA,NA,NA,0,NA,NA,NA,0,3.5,0,0,0,1,0,NA,1.2,8.2,0
1986-08-01,1.1,NA,4,NA,0,13,NA,NA,NA,0,NA,NA,NA,0,7.2,11.6,0,0,5.1,2.06666666666667,NA,0,17.8,0
1986-09-01,0,NA,2.2,NA,0,71.8983050847458,15.5,NA,NA,0,NA,NA,NA,0,11.8983050847458,0,0,0,1.1,41.6,NA,1.2,44.6,0
1986-10-01,0,NA,0,NA,0,NA,3,NA,NA,0,NA,NA,NA,0,10.6,0,0,33.6,13.1,50.1,NA,0,37.6,8.5
1986-11-01,1.2,NA,7,NA,1.4,NA,39.8,NA,NA,15.6,NA,NA,NA,0,24.7,30.2,3,46.3,25.1,74.4,NA,38.3,104.8,0
1986-12-01,10.9,NA,112.3,NA,16.7,NA,154.8,NA,NA,51,NA,NA,NA,9.9,65.8,121,7.9,59.7,122.7,128.3,NA,48.6,166.9,86.3
1987-01-01,16.3639344262295,NA,103,NA,17.5,NA,170.1,NA,NA,184,NA,NA,NA,80.6,127.3,131.9,0.5,240.6,104.6,175.3,NA,51.6,161.4,120.3
1987-02-01,NA,NA,105.6,NA,9.9,NA,100.3,NA,NA,91.1,NA,NA,NA,54.8,105.1,130.1,54.5,142,88.3,125.1,NA,165.9,101,134.9
1987-03-01,NA,NA,46.1,NA,0,NA,65.1,NA,NA,53.5,NA,NA,NA,34.7,35.8,111.1,5.5,92.1,69.2,76.1,NA,25.5,145.3,106.4
1987-04-01,NA,NA,22.7,NA,1.1,56.3,26.7,NA,NA,8.9,NA,NA,NA,2.1,25.8,19.8,1,60.8,26.9,74.6,NA,83.8,67,8.5
1987-05-01,NA,NA,1.7,NA,0.5,9.8,8.5,NA,NA,0,NA,NA,NA,0,1.7,6.2,0,15,23.7269230769231,7,NA,19.4,11.8,82.1
1987-06-01,NA,NA,0,NA,0,10.8,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,6.8,0
1987-07-01,NA,NA,0,NA,0,17,4.54666666666667,NA,NA,0,NA,NA,0,0,5.3,0,0,0,0,0,NA,0,17.6,0
1987-08-01,NA,NA,2,NA,0,16.2,2.84590163934426,NA,NA,0,NA,NA,0,0,3.6,0,0,0,4.6,6.2,NA,0,17.7,0
1987-09-01,NA,NA,5.8,NA,0,45,NA,NA,NA,0,NA,NA,0,0,14.9,9.1,0.1,12.5,9.3,57.9,NA,0,36.9,7.9
1987-10-01,NA,NA,9,NA,0,38.7,5.8,NA,NA,0,NA,NA,NA,0,19.6,5.6,0,21,10.8,56.2,NA,34,78.9,38.3
1987-11-01,NA,NA,31.7,NA,0,94.5,48.3050847457627,NA,NA,24.5,NA,NA,NA,5.7,90.2,29.3,3,61.8,40.4,112.2,NA,21.9,129.9,96
1987-12-01,NA,NA,84.6,NA,0,85.9,NA,NA,NA,53.1,NA,NA,NA,24.3,45.4,52.3,18,109.3,76.1,183.3,NA,135,144.2,115.5
1988-01-01,NA,NA,82.4,NA,13.4,164.3,189,NA,NA,168.1,NA,NA,67.2,49.8,104.7,131.6,28.5,132.7,91.6,154.6,NA,137.9,228.9,110.7
1988-02-01,NA,NA,96.9719298245614,NA,11.5,95.0385964912281,58.5,NA,NA,93.2,NA,NA,56.3,34.4947368421053,61.8,133.6,9.83928571428571,103.8,70.2,133.5,NA,152.7,153.3,NA
1988-03-01,NA,NA,0,NA,26,98.3,100.7,NA,NA,0,NA,NA,86.9,37.4,58.1,87.9,16,113.3,73.1,89.1,NA,106.9,106.8,107
1988-04-01,NA,NA,NA,NA,4.8,134.5,125.389830508475,NA,NA,0,NA,NA,30.6,27.5,72.9,71.1,6.5,91.7,58.2,114.7,NA,175.4,115.2,103.3
1988-05-01,NA,NA,NA,NA,0,24.4,15.6524590163934,NA,NA,0,NA,NA,4.1,20.4,12.6,5.2,0,13.4,19.2,33.1,NA,29.2,36.5,9.5
1988-06-01,NA,NA,NA,NA,0,0,0.5,NA,NA,0,NA,NA,0,0,0,0,0,0,0,2.5,NA,0,9.2,1.8
1988-07-01,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0
1988-08-01,NA,NA,NA,NA,0,0,1.6,NA,NA,0,NA,NA,NA,0,0,0,0,0,0.9,21.7,NA,0,16.6,8.5
1988-09-01,NA,NA,NA,NA,0,44.9,9.35593220338983,NA,NA,0,NA,NA,NA,0,11.1,0,0,6.6,4.2,46,NA,4.8,40.4,9.2
1988-10-01,NA,NA,NA,NA,1.4,66.5,41.2655737704918,NA,NA,0,NA,NA,12.8,0,28.0524590163934,11.1,0,36.9,21,89.151724137931,NA,60.1,95.2,52.9
1988-11-01,NA,NA,NA,NA,3.6,43.9,33.5,NA,NA,66.2,NA,NA,20.4,0,29.7,9.2,3,36.9,17.9,96.3,NA,44.4,106.4,64.8
1988-12-01,NA,NA,NA,NA,12.1,63.8,69.2163934426229,NA,NA,167.7,NA,NA,39.2,19.7,62.8131147540984,5.6,20.1,90.7,76.1,70.5,NA,41.3,88.1,87.5
1989-01-01,NA,NA,NA,NA,31.3,79.4,214.7,NA,NA,250.2,NA,NA,117.9,92.7,135.993442622951,212.8,53.1,188.1,145.6,177.4,NA,60.8,158.4,93.6
1989-02-01,NA,NA,NA,NA,73.5,103.5,167.9,NA,NA,233,NA,NA,113,149.8,95.6072727272727,236.8,27.7,200.3,147,140.3,NA,142.8,199.1,136.7
1989-03-01,NA,NA,NA,NA,36.7,118.6,100.8,NA,NA,202.5,NA,NA,169.4,78,109.7,218.9,35.9,189.3,134.7,NA,NA,142.8,206.8,187.8
1989-04-01,NA,NA,NA,NA,0,66.1,31.4,NA,NA,43.6,NA,NA,134.9,8.3,46.5,26.3,16.5,94,40.3,82.3,NA,102.1,126.7,105.8
1989-05-01,NA,NA,NA,NA,0,18.8,5.2,NA,NA,0,NA,NA,31.3,0,22.5,0,0.7,11.383606557377,14,33.2,NA,75.4,21.8,59.5
1989-06-01,NA,NA,NA,NA,0.6,20.3,3.05084745762712,NA,NA,0,NA,NA,0,0,3.7,0,0,7.7,2.8,7.1,NA,0,12.8,0
1989-07-01,NA,NA,NA,NA,0,3.7,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,1.1,0
1989-08-01,NA,NA,NA,NA,0,18.3,0,NA,NA,0,NA,NA,38.1,0,2,0,0,0,2.4,22.9,NA,0,47.2,0
1989-09-01,NA,NA,NA,NA,0,55.8,3.05084745762712,NA,NA,0,NA,NA,38.3,0,14.7,0,0,17.4,7.3,38.3,NA,1.2,34,18.2
1989-10-01,NA,NA,NA,NA,0,96.2,32,NA,NA,48.8,NA,NA,41.9,1.6,39.5,0.8,2.0327868852459,34.8,36.5,137.8,NA,91.1,109.8,35.2
1989-11-01,NA,NA,NA,NA,0,48.4,11.6949152542373,NA,NA,0,NA,NA,6.6,0,18.4,0,NA,13.3,8.5,40.6,NA,18.8,42.2,55.9
1989-12-01,NA,NA,NA,NA,2.4,28.7,12.4,NA,NA,0,NA,NA,55.2,0,7.6,0,0,0,8.7,9.4,NA,0,63.3,0
1990-01-01,NA,NA,NA,NA,9.2,85.5,108.04262295082,NA,NA,78.1,NA,NA,17.6,26.3,51.4,56,30.5,98.8,105.2,110.1,NA,63.8,207.2,132.4
1990-02-01,NA,NA,NA,NA,10.1,95.4,42.7,NA,NA,33.5,NA,NA,43.6,10.2,76,28.2,6,89.3,26.8,42.7,NA,80.2,89.6,36.5
1990-03-01,NA,NA,21.6,NA,19.5,102.3,53.2,NA,NA,43.1,NA,NA,58.6,53.4,59.4,14.6,16.9,87.7,37.8,75.3,NA,63.8,94,46.8
1990-04-01,NA,NA,3.7,NA,0,42.8,21.5593220338983,NA,NA,0,NA,NA,1,0,4.4,17.8,4.4,44.6,18.8,49.3,NA,16.4,92.6,38.9
1990-05-01,NA,NA,0,NA,0,28.6,4,NA,NA,0,NA,NA,9.8,7.6,8.5,0,0,5.3,5.8,33,NA,0,14.5,5.5
1990-06-01,NA,NA,0,NA,0,34.2,0,NA,NA,0,NA,NA,10.2,0,1,0,0,6,0.7,3.3,NA,4.9,45.4,0
1990-07-01,NA,NA,0,NA,0,8.7,4,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,10.3,0
1990-08-01,NA,NA,0,NA,0,0,0,NA,NA,3.2,NA,NA,0,0,0,0,0,0,0,4.8,NA,0,0.7,0
1990-09-01,NA,NA,3.2,NA,0,51.9,11.7966101694915,NA,NA,0,NA,NA,3.2,0,1.5,0,0,1.8,5.5,9.5,NA,5.5,23.9,0
1990-10-01,NA,NA,47.4,NA,0,145.4,123.173333333333,NA,NA,60.1,NA,NA,71.9,6.6,139,0,13.6,105.7,76.5,132.5,NA,99,133.8,107
1990-11-01,NA,NA,61.9,NA,7.5,115.8,72.7118644067797,NA,NA,97.4,NA,NA,51.1,33,82.7,0,0,118.779661016949,70.3,117.6,NA,87.4,99.9,61
1990-12-01,NA,NA,48.1,NA,0,94.8,66.1672131147541,NA,NA,67.6,NA,NA,34.4,24.5,113.3,60.2,18.7,NA,63.5,61.4,NA,39.5,75.7,0
1991-01-01,NA,NA,38.2,NA,0,107.5,82.9766666666667,NA,NA,54.9,NA,NA,23.1,16.1,49.1,37.5,2.2,114.4,59.2,57.6,NA,30.4,63.6,31.6
1991-02-01,NA,NA,60.8,NA,0,88.3,81.8,NA,NA,31.6,NA,NA,53.5,20.7,146.2,67.2,13.1,44.4,57.9,73.3090909090909,NA,82.1,87.6,0
1991-03-01,NA,NA,137.5,NA,12.2,188.2,145.9,NA,NA,133.8,NA,NA,114.3,80.8,110.177049180328,140.12,48.5,173,120.6,NA,NA,119.7,110.6,156.2
1991-04-01,NA,NA,16.2,NA,1.1,44.8,73.3,NA,NA,41.7,NA,NA,24.8,15.5,26.1509433962264,17,1,55.3,31.3,99.4,NA,38.3,66.2,0
1991-05-01,NA,NA,5.8,NA,0,23.3,71.4,NA,NA,28.3,NA,NA,8.1,0,0.9,0,0,0,9.4,42.1,NA,37.7,33.6,152.5
1991-06-01,NA,NA,0.101694915254237,NA,0,4.1,0,NA,NA,54.8,NA,NA,0,0,0,0,0,0,0,0,NA,0,2.7,0
1991-07-01,NA,NA,1.1,NA,0,2.8,0,NA,NA,0,NA,NA,0.7,0,0,0,0,0,2.84590163934426,4.7,NA,0,3.6,0
1991-08-01,NA,NA,0,NA,0,0,2.54098360655738,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,1.5,0
1991-09-01,NA,NA,7.1,NA,0,31.9,28.4,NA,NA,0,NA,NA,0,0,0,0,0,0,7.52542372881356,0,NA,0,18.6,0
1991-10-01,NA,NA,48,NA,0,75.5,68.2,NA,NA,0,NA,NA,56.7,30.9,0,13.1,14.1,61,64.4393442622951,61.5,NA,62,133.2,62
1991-11-01,NA,NA,35.2,NA,0,83,35.6949152542373,NA,NA,0,NA,NA,13.3,13.7,14.3,10.1,3.4,43,45.2542372881356,76,NA,0,85.8,0
1991-12-01,NA,NA,17.7,NA,14.7,44,62.1,NA,NA,0,NA,NA,30.7,5.3,16.8,6,4.4,63,37.6065573770492,32.9,NA,NA,86.6,0
1992-01-01,NA,NA,13.4,NA,0,52.5,7.7,NA,NA,0,NA,NA,22,12.7,39.5,83.3,0,56.1,35.3,2.3,NA,68.1,67.3,27.3
1992-02-01,NA,NA,12.6,NA,12.4,66.5,49.9,NA,NA,76.8,NA,NA,27,15.4666666666667,23.8,82.9,2.1,31.3,40.8035087719298,71,NA,31.6,67.5,NA
1992-03-01,NA,NA,50.2,NA,17.7,98.8,63.7,NA,NA,150.2,NA,NA,80.2,38.1,48.7,37,15.3,92.1,80,112.7,NA,54.7,NA,47.4
1992-04-01,NA,NA,35.6,NA,0,28.1694915254237,53.1864406779661,NA,NA,52.3,NA,NA,13.6,5.8,23.5,12.1,1.6,57.6,25.8,49.8,NA,48.6,68.5,51.6
1992-05-01,NA,NA,0.2,NA,0,0,7.44,NA,NA,22,NA,NA,7.2,0,2.6,0,0,0,0,29.9,NA,0,18.9,0
1992-06-01,NA,NA,0,NA,0,5.5,5,NA,NA,5.3,NA,NA,0,0,3.4,0,0,0,0,18.2,NA,6.1,32.6,20.7
1992-07-01,NA,NA,0,NA,0,3.4,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,1.1,0
1992-08-01,NA,NA,3.6,NA,0,36.4,17.7,NA,NA,0,NA,NA,0,0,0.4,0,0,0,1.7,13.1,NA,NA,15.1,0
1992-09-01,NA,NA,4,NA,0,23.5,0,NA,NA,10.8,NA,NA,0,0,6.6,0,0,0,6.4,49.2,NA,0,32.7,24.3
1992-10-01,NA,NA,18.2,NA,0,63.2,43,NA,NA,61.7,NA,NA,53.7,11.3,19.9,7.2,3.8,109.2,NA,77,NA,36.4,112.2,52.3
1992-11-01,NA,NA,5.1,NA,0,76.1,18.5,NA,NA,0,NA,NA,16.9,0,22.8,0.3,0.8,1.5,33.5,44.5,NA,18.2,65.7,0
1992-12-01,NA,NA,8.9,NA,0,40.6,31,NA,NA,29.8,NA,NA,6.5,29.8,17.3,6.7,1.4,25.3,19.3,46.7,NA,0,23,0
1993-01-01,NA,NA,76.4,NA,0,120.9,190.6,NA,NA,82.1,NA,NA,41.3,29.5,89.2,107.8,20.7,161.9,97.6,150.6,NA,38.3,190.5,105.1
1993-02-01,NA,NA,89,NA,50.9,128.1,205.672727272727,NA,NA,51.9,NA,NA,163.9,27.8,127.7,129.9,26.7,119.8,100.5,132,NA,138.6,166.2,147
1993-03-01,NA,NA,144.1,NA,122,188.6,224.8,NA,NA,195.6,NA,NA,270.1,158.9,147,211.7,33.2,154.8,118.4,247,NA,134.5,215.7,232.8
1993-04-01,NA,NA,66.6,NA,28.8,124.9,181.6,NA,NA,94.3,NA,NA,219.7,42.3,112.067796610169,103.4,4.7,124,72.7,155.6,NA,135.8,147.2,193.2
1993-05-01,NA,NA,11.6,NA,4.5,21.1,17.9,NA,NA,0,NA,NA,9.3,0,0.813114754098361,8.1,1,34.6,18.2,28.5,NA,79.9,72.7,28.6
1993-06-01,NA,NA,0,NA,0,7.9,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,15.2,14.2,0
1993-07-01,NA,NA,0.3,NA,0,11,4.5,NA,NA,0,NA,NA,0,0,0,0,0,0,0,5.4,NA,0,10.3,0
1993-08-01,NA,NA,0,NA,0,13.9,10,NA,NA,0,NA,NA,0,3.4,0,0.3,0,0,0,0,NA,0,8.7,0
1993-09-01,NA,NA,1.1,NA,0,69.5,12.2033898305085,NA,NA,0,NA,NA,12.2,0,9,0,0,15,12.5,47.4,NA,23.7,115.1,60.1
1993-10-01,NA,NA,33.9475409836066,NA,0,86.6,73.1803278688525,NA,NA,0,NA,NA,100.6,12.9,84.4622950819672,40.3,6.2,94.727868852459,69.9,152,NA,39.4,139.3,58.3
1993-11-01,NA,NA,56.2,121.830508474576,0,160.9,129.3,NA,NA,0,NA,NA,94.7,16,86.6440677966102,58.8,9.7,151.5,99.9,128.3,NA,29.2,191.1,162.2
1993-12-01,NA,NA,64.1,116.7,13.2,183.1,90.0524590163934,NA,NA,0,NA,NA,232.5,32,247.4,93.8,10.4,126.7,104,181.8,NA,161.4,247.1,184
1994-01-01,NA,NA,97.5,179.3,33.8,167.1,203.990163934426,NA,NA,227.4,NA,NA,209.7,43.9,129,142.7,28.1,128,100.9,135.5,NA,105.5,185.3,165.3
1994-02-01,NA,NA,136.5,216.5,42.4,175.8,150.4,NA,NA,263.7,NA,NA,149.8,50.4,127.3,185.3,39.1,217.9,130.2,144.6,NA,136.4,193.9,112.4
1994-03-01,NA,NA,104.4,177.4,5.3,157.9,160.590163934426,NA,NA,149.6,NA,NA,219.8,60.4,163.9,115.4,18.9,172.4,130.1,253.9,NA,187.6,265.6,267.5
1994-04-01,NA,21.5,38.7,83.8,4.7,89.5,92.2,NA,NA,111.2,NA,NA,81.8,14.1,110.5,57,18.3,57.9,61.6,112.9,NA,43.7,159.7,151.4
1994-05-01,NA,3.6,8.2,1.7,0,22.7,26.1,NA,NA,0,NA,NA,14.8,6.5,45.4,0,0.7,30.4,14,40.1,NA,55.8,83.5,0
1994-06-01,NA,0,0,0,0,13.4,0,NA,NA,0,NA,NA,0,0,1.7,0,0,0,0,3.8,NA,0,6.7,0
1994-07-01,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,1.9,0,0,0,0.7,0.6,NA,0,NA,0
1994-08-01,NA,0,0,0.5,0,0,4,NA,NA,0,NA,NA,0,0,0.748275862068966,0,0,0,0,4.8,NA,0,NA,0
1994-09-01,NA,1.8,11.3,10.1,0,48.2,39,NA,NA,0,NA,NA,0,0,NA,13.8,0,11.4,9.4,36.9,NA,0,27,0
1994-10-01,NA,1.2,0,8.8,0,57.6,7.8,NA,NA,7.5,NA,NA,4.3,0,8.9,0,0.1,7.4,7.1,52,NA,0,90.1,0
1994-11-01,NA,1.5,19.1,23.2,0,52.9,45.1,NA,NA,0,NA,NA,45,7.7,56.8,10.4,0,5.8,40.3,56.4,NA,0,65.9,0
1994-12-01,NA,18.9,42.7,73.6,14.7,80.1,94,NA,NA,98.7,NA,NA,59.8,36.8,47.9,74.4,10.1,53.8,65.9,82.6,NA,0,134.3,0
1995-01-01,NA,22.4,69.5,73.2,30.8,112.2,75.8,NA,NA,97.6,NA,NA,137.4,36,73.3,79.7,22.7,81.6,74.3,46.4,NA,NA,122.3,NA
1995-02-01,NA,22.2,33.9,52.2,10.1,98.5,111.5,NA,NA,132.7,NA,NA,55.7,36,35.2,63.6,4.8,38.4,31.5,98.4,NA,NA,36.8,NA
1995-03-01,NA,32.9,67.6,104.3,10.7,152,133.5,NA,NA,226.4,NA,NA,126.3,25.2,140.1,105.9,14.2,149.3,79.9,144.3,NA,NA,199.4,NA
1995-04-01,NA,7.3,39.3,56.6,0,75.5,79.5,NA,NA,21.2,NA,NA,38.4,8.5,59.4,84,7,54.1,46.5,128.9,NA,NA,90,NA
1995-05-01,NA,0,3.7,6.3,0,53.1,NA,NA,NA,0,NA,NA,16.5,0,9,13.3,1.2,6.9,8.6,39,NA,NA,62,NA
1995-06-01,NA,0,0,0,0,22,2.5,NA,NA,0,NA,NA,0,0,5.1,0,0,0,0,0.6,NA,NA,6.9,NA
1995-07-01,NA,0,0,0,0,1,0,NA,NA,0,NA,NA,0,0,1.2,0,0,8.3,3.4,0,NA,NA,8.1,NA
1995-08-01,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,4.4,0,0,0,0,4.5,NA,NA,5.5,NA
1995-09-01,NA,0,0.5,3.1,0,35.7,9.3,NA,NA,7.2,NA,NA,0,0,7.3,0,0,3.1,4.6,18.4,NA,NA,NA,NA
1995-10-01,NA,10.4,7.8,7.5,2.2,87.7,21.3,NA,NA,14.2,NA,NA,28.5,0,43.2,25.4,0.9,28.8,32.2,75.2,NA,NA,NA,NA
1995-11-01,NA,3.3,44,47,1,75.5,72,NA,NA,49.3,NA,NA,50.5,13.7,49.4,67.9,15.2,97.5,63.9,79.8,NA,NA,NA,NA
1995-12-01,NA,2.1,59.5,126.6,5.2,142.2,104.6,NA,NA,92.2,NA,NA,71.6,20.6,85.5,57.7,19,49.4,74.3,124.8,NA,NA,NA,NA
1996-01-01,NA,37.6,99.3,109,15,107.9,118.6,NA,NA,171.5,NA,NA,148.4,78.7,121.9,110.1,37,150.1,92.6,135.2,NA,NA,NA,NA
1996-02-01,NA,44.4,134.4,125.9,36.5,141.8,205.5,NA,NA,172.8,NA,NA,161,81.9,96.4,154.4,40.6,137.5,139.7,161,NA,NA,NA,NA
1996-03-01,NA,83.2,105.1,143.9,35.4,147.1,144,NA,NA,214.2,NA,NA,144.3,112.9,125,174.2,55.3,232.3,119.1,208.8,NA,NA,NA,NA
1996-04-01,NA,16.3,30.6,39.2,4.6,139.6,65.8,NA,NA,87.8,NA,NA,55.4,28.5,58.2,38.5,15.2,96.1,71.2,62.1,91.6,NA,NA,NA
1996-05-01,NA,0,0,8.5,0,34,11.5,NA,NA,26.5,NA,NA,21.7,7.5,3.9,0,0,1.8,3.5,28.2,24.8,NA,NA,NA
1996-06-01,NA,0,0,0,0,2.6,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
1996-07-01,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
1996-08-01,NA,0,0,4.2,0,19.5,1.63157894736842,NA,NA,0,NA,NA,0,0,2,0,0,0,0,6.8,6.1,NA,NA,NA
1996-09-01,NA,0,0.4,0.6,0,22.9,1.5,NA,NA,0,NA,NA,9.3,0,6.1,0,0,0,0,17.8,49.2,NA,NA,NA
1996-10-01,NA,0.7,12.7,35.3,3.7,41.7,37,NA,NA,15.2,NA,NA,36.2,4.6,26.5,10.9,2.8,27.6,20.9,100.070175438596,42.6,NA,NA,NA
1996-11-01,NA,1,13.7,20.6,0.5,33.9,41.5,NA,NA,5.7,NA,NA,30.2,1.2,21.4,6,1.3,0,16.9,43.2,50.1,NA,NA,NA
1996-12-01,NA,9.3,43.5,76.5,9.9,60.3,76.9,NA,NA,74.8,NA,NA,55.4,7.7,61.8,42.3,20.6327868852459,23.6,70.7,76.9,30.1,NA,NA,NA
1997-01-01,NA,17.6,66.9,108.5,12.4,85.9,83.7,NA,NA,91.5,NA,NA,64.1,31.4,88.3,94.4,18,53.8,82.5,106.5,63.2,NA,NA,NA
1997-02-01,NA,31.6,78.3,168.2,37.1,125.7,174.9,NA,NA,108.1,NA,NA,165.1,88.3,115.7,135.5,22.2,109.4,96.5,142.5,177.8,NA,NA,NA
1997-03-01,NA,27,16.7,55.7,6.4,61.3,58.8,NA,NA,45.9,NA,NA,39.9,11.4,40.5,65.8,4.3,53.7,44.2,44.2,45.3,NA,NA,NA
1997-04-01,NA,10,0,25.7,3.4,20.9,51,NA,NA,32.9,NA,NA,22.7,14.3,26.8,46.3,0.9,48.3,6.4,49.9,58.6,NA,NA,NA
1997-05-01,NA,4,0,4.5,1.5,12,6,NA,NA,0,NA,NA,10.1,10.3,0,0,0,0,0,16.2,27.6,NA,NA,NA
1997-06-01,NA,0,0,0,0,5.9,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
1997-07-01,NA,0,0,0,0,1.4,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,2.5,NA,NA,NA
1997-08-01,NA,0,0,0.4,0,13.4,2.8,NA,NA,0,NA,NA,0,0,0,0.3,0,0,0.6,1.7,8.8,NA,NA,NA
1997-09-01,NA,0.3,0.7,15.9,0,41.3,28,NA,NA,8,NA,NA,8.7,12.7,14,3.9,0,13,12,23.6,21.4,NA,NA,NA
1997-10-01,NA,0,13.8,25.4,3.2,52.2,27.8,NA,NA,11,NA,NA,22.6,15.7,24.2,9.2,4.5,6.5,13.4,49.3,33.1,NA,NA,NA
1997-11-01,NA,24.5,42.3,63.6,6,101.3,46.7,NA,NA,128.2,NA,NA,83.6,40.5,64.4,62,4.7,83.5,45.4,77.7,68.7,NA,NA,NA
1997-12-01,NA,49.6,107.7,233.9,54.6,111.4,164.3,NA,NA,181.6,NA,NA,176.9,155.1,125.3,181.4,43.3,197.4,116.2,200.5,140.9,NA,NA,NA
1998-01-01,NA,89,185.1,162.7,108.7,160.9,230.1,NA,NA,251.8,NA,NA,229.6,172,178.1,259.2,74.3,216.2,140,246.2,138.2,NA,NA,NA
1998-02-01,NA,81.8,122.8,179.5,99.8,127.4,179.7,NA,NA,307.6,NA,NA,196.2,154.661818181818,112.3,236.4,45,115,83.7,203.4,168.7,NA,NA,NA
