"","dates","IDW","OK","IED","KED"
"1",1970-01-01,154.766517578402,137.49371772022,187.909241946809,172.259779074602
"2",1970-02-01,60.8748683128798,64.038206726617,85.6298671694627,78.5728427925866
"3",1970-03-01,101.907943412308,104.821584969043,132.237802843717,131.419424666502
"4",1970-04-01,72.2852219907095,81.082364719109,106.223836082236,96.325096713101
"5",1970-05-01,27.5835159636453,30.1075164173732,41.9333485875683,36.796886485403
"6",1970-06-01,2.06338034074264,2.27775282839943,2.64928551817706,2.49558303152613
"7",1970-07-01,1.59800982932567,2.60675487324596,3.75091297255664,4.20310043502528
"8",1970-08-01,3.20491336476423,2.44099728785686,6.28625942433538,6.28798281745442
"9",1970-09-01,48.2790862016315,56.9904765423015,76.7650404064537,69.6825859050171
"10",1970-10-01,48.6655011220504,55.3426354445976,76.940440049811,75.001582243096
"11",1970-11-01,47.9162535459736,53.7683181752021,71.5581146803981,66.0936335609915
"12",1970-12-01,93.1273065900585,84.4955299860233,141.97333355463,133.832140548281
"13",1971-01-01,74.8260701522456,83.9640724600846,110.197767466327,108.241133202424
"14",1971-02-01,132.667694738646,144.03128287026,180.031151549111,181.804799044235
"15",1971-03-01,175.386842579081,184.051976936014,231.781494129639,235.691757718117
"16",1971-04-01,36.9167276232136,39.3011121783278,52.8114767473071,51.3694484973733
"17",1971-05-01,3.35630388450803,4.39709051753731,7.11623490086031,7.32415316831814
"18",1971-06-01,1.53882752896279,2.2335034771327,4.10715122979065,3.66667189293334
"19",1971-07-01,0.318733491761472,0.49904422338256,0.949460375636195,0.846286586409168
"20",1971-08-01,25.9747920137117,23.1561119058618,35.9970130046689,33.1000545920755
"21",1971-09-01,6.09689969213822,6.16999482046109,11.1842389706949,10.0860105572369
"22",1971-10-01,31.9963318117286,37.7850946718273,51.6234896845082,50.800333321943
"23",1971-11-01,23.1098213264559,20.7146100356437,44.6689661161984,48.4890450896712
"24",1971-12-01,92.3971432077194,99.1746606554539,139.283872845496,133.387601732763
"25",1972-01-01,119.473253211377,111.59588147353,150.212077755415,145.068625404903
"26",1972-02-01,103.636410421104,93.90460751751,129.387388020387,121.288165163928
"27",1972-03-01,289.942108238291,283.755717214978,352.602155276182,363.73724186377
"28",1972-04-01,67.932819939776,66.0461060859482,106.860655728793,106.523417333533
"29",1972-05-01,2.07699592154502,3.68561016310106,7.83473774201107,6.24858706940759
"30",1972-06-01,0.457069662718524,0.867689325110341,1.84467753390445,1.47947279526555
"31",1972-07-01,0.440485734707717,0.502301170553234,0.273969766621663,0.302140602740825
"32",1972-08-01,9.08515408712002,10.2407264278993,14.3264342424991,14.4152166981741
"33",1972-09-01,23.5684860616751,29.9583085268561,35.2031942051998,39.0890481677182
"34",1972-10-01,23.8495867468828,27.4383165117087,37.8630087127432,38.8740328582642
"35",1972-11-01,29.7731297190827,32.7874478305402,41.6356440322468,41.0140893254136
"36",1972-12-01,71.54946118028,69.5420997973795,89.7057003424554,84.0942630454082
"37",1973-01-01,164.515981009081,179.58185191153,196.434541601827,229.427654845809
"38",1973-02-01,125.620487181617,137.932491152093,170.440392895854,172.890000452709
"39",1973-03-01,159.482966102651,161.941656093731,203.449487007926,219.414083244614
"40",1973-04-01,94.9058379662852,103.784793827493,135.837921312999,134.302199441545
"41",1973-05-01,25.8619894438498,22.2153017841967,41.2807998841361,41.0436335198011
"42",1973-06-01,1.96309134525344,4.4120457060005,6.52641487349698,9.21035418721487
"43",1973-07-01,4.88125114073997,5.51730830571783,6.41132115428918,6.45675940119049
"44",1973-08-01,6.19969859011235,7.2161573712132,9.41661977806449,9.59439495361066
"45",1973-09-01,34.6596928180554,34.0179203161108,54.7655927854622,53.7625204122533
"46",1973-10-01,61.6008395094633,56.9751441790355,91.185438538888,83.6307963163227
"47",1973-11-01,45.8152383841165,53.5534520141535,76.4157933296341,74.3957764516592
"48",1973-12-01,116.315895611337,119.113838399668,168.254782990449,163.621124862125
"49",1974-01-01,87.9353421526924,107.823687010186,132.589189542192,133.324396893863
"50",1974-02-01,164.334266982529,146.12130648841,214.396790967728,193.974528553742
"51",1974-03-01,115.393924576647,134.648339428152,170.929942896851,163.188897188985
"52",1974-04-01,27.6895291314918,30.7082065318957,48.8652001907142,52.2080771946464
"53",1974-05-01,1.97235989820683,2.65875357419065,3.9544032611337,4.16323051926063
"54",1974-06-01,3.85362622637077,4.76307536953342,7.54678955120983,6.77344460505187
"55",1974-07-01,0.519335876026391,0.967204746183048,1.35737903700547,1.62313354677033
"56",1974-08-01,5.88828596877433,3.98795190789209,12.7081705398503,9.04060679330089
"57",1974-09-01,3.05280311298615,4.80138057549163,8.8776286587803,7.97335706994344
"58",1974-10-01,17.3821255877942,17.1576087386203,26.7845788361991,24.4614929864726
"59",1974-11-01,27.1111443067943,30.6494406332998,43.2512764832327,41.6486825005786
"60",1974-12-01,29.7848879776055,37.2341232843793,50.0668619506934,52.3350755553377
"61",1975-01-01,143.98228935694,144.530142594762,186.496984217837,170.426272632916
"62",1975-02-01,106.806009610163,106.330038498645,136.755781197757,147.717356105297
"63",1975-03-01,187.960711583264,183.766813455559,233.875490520969,218.653514181514
"64",1975-04-01,42.7305809324006,47.4571165341846,66.9835810142438,62.2147202476709
"65",1975-05-01,24.6271143671502,31.07614674172,44.6413838380609,43.0077957528239
"66",1975-06-01,5.52111889124727,4.20252928594536,6.79160202512369,4.95460872514259
"67",1975-07-01,0.161479701199957,0.30944309075829,0.651712422157861,0.522690179939265
"68",1975-08-01,6.02213420221367,6.73289812431022,10.7205595638708,11.6761388008919
